document,count_sents,all_passives,passive_count,passive_sents_count,passive_percentages,binary,res_u,res_com,res_dif,ID,gender,age,comments
I ordered a kitchen appliance using points online.  I ordered it when there was a specific sale so that it was free to me due to the amount of points I had saved.  The item was marked as delivered but I never received it.  The company did not send me a replacement.  I had to argue for a refund of my point and then I was not able to purchase a replacement for the same price. ,6,['was marked'],1,1,0.16666666666666666,1,1,7,-6,6156498c17bdcd7cb70c420c,2,37,No.
"A couple of years ago I was out grocery shopping for my family after work and when I went to go check out I come to find out that my card wouldn't go through the card reader. I had to pay with cash and call my bank about the situation. Apparently, my card was frozen for suspicious payments. It is all sorted out now. ",4,['was frozen'],1,1,0.25,1,7,1,6,61144d0fac78f98ad263c52a,2,20,none
"I had a issues with a cashier at Smart and Final grocery a few years ago, I was purchasing a potted plant I asked the cashier to please do not hold the plant by the flowers the cashier shrugged like she didn't care. When the transaction was over I walk over to the manager and advised her of the employee. 

I did not see this employee again when I went back the the store.",3,[],0,0,0.0,0,1,3,-2,5f63928ef2b0b609a2c5806d,1,36,no
"The problem was with our trash pickup service provider. They conduct ""audits"" of the number of trashcans customers are using, but they way this do this is to just drive around and see how many are in front of each house. There is zero communication about this process. Our street is very crowded, and everyone has to squeeze their trashcans in wherever possible, so the placement of a can isn't indicative of whose it is. Without notice or communication, we were charged for two trashcans; when I called the company, they said they concluded that we had two trash cans instead of the one we pay for, and we were charged double. I said we only use one can, as our service records indicate, and asked how they determined we have more than one. The response was explaining the audit process. I asked if they thought we stole a can, since they can see that we never requested another can. They wouldn't give me a response. They said they would continue to charge us for two until they did another audit. I said this was unacceptable, because this situation was their own fault, and it's fraudulent to charge customers for a service they are not providing and which wasn't requested. Furthermore, I did not trust their audit system since it was clearly inaccurate, and that they ought to have communicated with us before charging us double. Their response was that we should write our house number on our can. We have, in fact, written the house number on the can, but the trash cans they provide are too slick for ink to stick for long (especially given that their drivers knock the cans over, run into them, and leave them in the middle of the road). I had to call our city council person since the city gave our trash contract to this company. After that , they finally called back and said they would adjust our account to reflect one can and give us a refund on that bill. The whole thing was entirely unacceptable. ",17,"['were charged', 'were charged', ""wasn't requested""]",3,2,0.11764705882352941,1,1,7,-6,5be74b8dd153f500019a6ace,2,43,no
I used my debit card at a major airport kiosk and my card was immediately compromised. While I sat in the airport drinking the coffee I just purchased and watched my bank account blow up with alerts. It took a few days for my account to be credited back from the fraudulent activity.,3,"['was immediately compromised', 'be credited']",2,2,0.6666666666666666,1,5,6,-1,617066e07dbd3e09855712bb,2,56,no
Recently I shopped at the grocery store and had a large order.  When I got home I found that two of the items I was charged did not make it into the cart.  I paid for these items and needed them for a recipe.  I called the store and luckily they recorded that the items were never put into the cart and was left at checkout.  I was able to go back to the store and get the items at no charge.,7,"['was charged', 'were never put', 'was left']",3,2,0.2857142857142857,1,1,7,-6,604fdcd6af4aa7257d4ce23c,2,69,no
"My husband and I went to a restaurant and ordered wings with our son. The waitress came over and took our order. After quite some time she never came back, but kept seeing her hang out over across the restaurant. We waited and eventually she came back and the food was cold and it looked old. They did not do anything at the time. I called later that evening and they offered us a gift card to there location, but sadly I declined because I did not want to go back there.",6,[],0,0,0.0,0,1,7,-6,5e503489f3b86307aff92704,2,27,Thank you
"Some time ago I had a big problem in a store, because I was going to change a product and the employees did not want to accept it, finally we had a long conversation and they accepted the change of the product.",1,[],0,0,0.0,0,4,5,-1,5d5a2bd93296320016eee507,1,36,Nothing at all
"I bought a car battery online at Walmart to be picked up in the store.  I was charged a $12 core charge.  I went back to Walmart with the old battery to get the core charge taken off and refunded. They refused to do it because the receipt did not say core charge it said ""miscellaneous fee"". I had to call 1-800 Walmart to get a refund.  They should have been able to handle the refund but they refused. ",7,"['be picked', 'was charged']",2,2,0.2857142857142857,1,1,7,-6,578e195416020100010400f4,2,55,Thank you
I was trying to move my old cell phone number from my old carrier to a new cell phone carrier. The old carrier had a block on the old number. As a result I called multiple times and spent roughly 5 hours on the phone with multiple customer support folks. In the end NET10 was unable to unlock my old number. I filed multiple complaints and finally just left my old number with NET10,6,[],0,0,0.0,0,3,7,-4,58ba380f4cdfd90001778021,1,49,good question
There is a certain thing with our internet.  It is called packet loss and makes video games in particular go slow.  It's always the same problem.  A node down the street.  but each time this happens the company gives us the run around.,6,['is called'],1,1,0.16666666666666666,1,1,7,-6,60fab1b96bd45f60d1b053dc,2,59,no
"I had received a payment through an app, and it would not transfer. The customer service was quite rude and basically told me I was lying. After a lot of back and forth, my husband, NOT the customer service rep, found out how to fix it. I lost all respect for them.",4,[],0,0,0.0,0,1,7,-6,5f56c18c1766951352701182,2,30,No.
I've had an issue where my packages are getting delivered into my closed backyard. The couriers are opening my gate and walking up to my backdoor. I've reached out to the online companies that sold the products and they were able to make notes on my account to not deliver it like that anymore.,3,['are getting delivered'],1,1,0.3333333333333333,1,2,6,-4,614e4d6c3ee9ec6679f47769,1,23,no
I ordered shoes and they never came in. I was scammed. I contacted my credit card company and was able to eventually get refunded.,3,['was scammed'],1,1,0.3333333333333333,1,4,7,-3,612679052d45de15e927a3b4,2,22,none
