document,count_sents,all_passives,passive_count,passive_sents_count,passive_percentages,binary,Unnamed: 0,PassiveMatch(es),PassiveCount,ID,Test,Cond,human_coding,match
I once voted in local election ,1,[],0,0,0.0,0,31,,0,A12S5JDG2D5HEW,2.0,2,0,True
I vote because it is my right.,1,[],0,0,0.0,0,32,,0,A1FAQI8VXLAMBM,2.0,1,0,True
The race was won by President Trump.,1,['was won'],1,1,1.0,1,33,['was won'],1,A3P1QF00PF2DF9,1.0,2,1,True
I am watching this politician lie right now ,1,[],0,0,0.0,0,34,,0,A16ZLWV0QUJP65,2.0,1,0,True
Joe Biden signed the stimulus bill.,1,[],0,0,0.0,0,35,,0,AOJD8D9NXVAR3,1.0,1,0,True
Politics have become senseless.,1,[],0,0,0.0,0,36,,0,A1ZLWV0QUJP65,2.0,2,1,False
Trump is the worst president of all time. ,1,[],0,0,0.0,0,37,,0,AAL5LUI5U3NAV,1.0,1,0,True
I do not know much about my country politics. ,1,[],0,0,0.0,0,38,,0,A1TK1M16KJJKEO,1.0,2,0,True
I went to the political rally,1,[],0,0,0.0,0,39,,0,A79XOBCSS4NTG,1.0,1,0,True
Politics is difficult career.,1,[],0,0,0.0,0,40,,0,A2O3IWIVOZD4S7,1.0,1,0,True
Politics are very controversial.,1,[],0,0,0.0,0,41,,0,A2SVKAI2PNTS79,2.0,2,0,True
"The people voted for the President,",1,[],0,0,0.0,0,42,,0,A2O3IWIVOZD4S7,1.0,1,0,True
The country was shown lot of problems with politics,1,['was shown'],1,1,1.0,1,43,['was shown'],1,A2VNR6984SDFGQ,1.0,2,1,True
The voters were important in deciding the election. ,1,[],0,0,0.0,0,44,,0,A3CLBF224TRYC9,1.0,2,0,True
The man read about politics in his local newspaper.,1,[],0,0,0.0,0,45,,0,A8TLS2F8LFQ68,1.0,1,0,True
Liberal politics are out of control. ,1,[],0,0,0.0,0,46,,0,AIJPLVW0ULYTH,2.0,1,0,True
Most politicians seem to only be in it for themselves.,1,[],0,0,0.0,0,47,,0,A3CX0LXFHZ6I3I,1.0,2,0,True
Getting involved in politics is easy.,1,[],0,0,0.0,0,48,,0,A2LEBJWW395FST,1.0,1,0,True
The ballots were clearly marked on Election Day.,1,['were clearly marked'],1,1,1.0,1,49,['were clearly marked'],1,AFTSLCMJASJDR,1.0,2,1,True
He had no interest in politics,1,[],0,0,0.0,0,50,,0,AA0EJ752F121Q,2.0,2,0,True
Politics often threatens family gatherings that would otherwise be fun.,1,[],0,0,0.0,0,51,,0,A2VN0R4EGGV7KE,2.0,1,0,True
I went and voted today.,1,[],0,0,0.0,0,52,,0,AJKA9BKC011F2,2.0,1,0,True
The politics pay big role.,1,[],0,0,0.0,0,53,,0,A2X823PACMMOKP,1.0,1,0,True
The mayor in the politicians office was corrupted. ,1,['was corrupted'],1,1,1.0,1,54,['was corrupted'],1,ALG1XBLARJ545,1.0,2,1,True
The Republicans were defeated by the Democrats in the last US Presidential election.,1,['were defeated'],1,1,1.0,1,55,['were defeated'],1,A2SKOPFTRTNFUY,1.0,2,1,True
Citizens were impacted by the president choices.,1,['were impacted'],1,1,1.0,1,56,['were impacted'],1,A347NXF6NQGM5G,1.0,2,1,True
A person politics make up their personality.,1,[],0,0,0.0,0,57,,0,AFRKVRPZ2RHY8,1.0,2,0,True
I am campaigning for cause that supports Republican Politics.,1,[],0,0,0.0,0,58,,0,A2OZKKX2O0YTLD,2.0,1,0,True
Trump yelled at the heckler ,1,[],0,0,0.0,0,59,,0,A240OTT1T85UGT,1.0,1,0,True
The family would have heated political arguments after dinner. ,1,[],0,0,0.0,0,60,,0,A55E4CZQLYYO3,2.0,2,0,True
The debate tonight was heated ,1,[],0,0,0.0,0,61,,0,A3QNSOORS63W0D,2.0,1,0,True
Politics requires suffering.,1,[],0,0,0.0,0,62,,0,A63XZD0XGIMAI,1.0,1,0,True
There were not enough votes to elect him.,1,[],0,0,0.0,0,63,,0,A2ONKY3JGB34T3,1.0,2,1,False
Joe Biden toured the country when he ran for President.,1,[],0,0,0.0,0,64,,0,AOJD8D9NXVAR3,1.0,1,0,True
Politics ruins society.,1,[],0,0,0.0,0,65,,0,A33B85TN97HQ33,1.0,1,0,True
Donald Trump got beat by Joe Biden in the 2020 Elections.,1,['got beat'],1,1,1.0,1,66,['got beat'],1,A3J72C0SIACZBS,1.0,2,1,True
An error was made in the tabulation of votes.,1,['was made'],1,1,1.0,1,67,['was made'],1,AW3PWVBIGPNAA,1.0,2,1,True
Politics are very complicated.,1,[],0,0,0.0,0,68,,0,AC95JAUAM2L2Z,1.0,1,0,True
Abortion is sensitive topic for many people.,1,[],0,0,0.0,0,69,,0,AFE7E450NETF2,1.0,2,0,True
I am into politics,1,[],0,0,0.0,0,70,,0,AXR1QGU4KTMSZ,1.0,1,0,True
The politician was impeached for extreme corruption.,1,['was impeached'],1,1,1.0,1,71,['was impeached'],1,COPIEDAKHKMEPXX1YZ9,2.0,2,1,True
I don want to write anything about politics ,1,[],0,0,0.0,0,72,,0,AOZBPO12UMPUY,1.0,1,0,True
Politics is in every workplace .,1,[],0,0,0.0,0,73,,0,A1JSPB0XCFUUG1,2.0,1,0,True
The president was elected that night.,1,['was elected'],1,1,1.0,1,74,['was elected'],1,A2VAG94W4SK18C,1.0,2,1,True
Politics can be stressful to be involved in. ,1,[],0,0,0.0,0,75,['be involved'],1,A2GIT09BQEUM9M,,1,0,False
Politics are product of systems.,1,[],0,0,0.0,0,76,,0,A162CO8K267FU8,1.0,2,0,True
I do not like Donal Trump.,1,[],0,0,0.0,0,77,,0,A3S9ASZKIIJ3WF,2.0,1,0,True
Politics help society function.,1,[],0,0,0.0,0,78,,0,A3JUAN2Y9XTK5L,2.0,1,0,True
I wish there had been different candidates running for President in the election.,1,[],0,0,0.0,0,79,,0,A23FK9ROU01U4D,2.0,2,1,False
The nation is arguing over politics,1,[],0,0,0.0,0,80,,0,A79XOBCSS4NTG,1.0,2,0,True
The president did not want to concede the ellection.,1,[],0,0,0.0,0,81,,0,AU34Y1DWWQ47O,1.0,1,0,True
i liked politics,1,[],0,0,0.0,0,82,,0,A2TWX0MB777CAB,2.0,2,0,True
Politics are slipper slope.,1,[],0,0,0.0,0,83,,0,A1HYNGG8LZUV47,2.0,1,0,True
Politics never interested me growing up.,1,[],0,0,0.0,0,84,,0,AQDBBBTN8NE9X,2.0,2,1,False
Politics would have to be considered.,1,['be considered'],1,1,1.0,1,85,['be considered'],1,A36G7I51D5O1M4,2.0,2,1,True
The President signed the bill into law today.,1,[],0,0,0.0,0,86,,0,COPIEDAPV3GK8ZEXB0J,1.0,1,0,True
I avoid talking about politics.,1,[],0,0,0.0,0,87,,0,A38LW34F26WBJY,1.0,1,0,True
My favorite candidate is Joe Biden,1,[],0,0,0.0,0,88,,0,A35TZ4YGDSXSEC,1.0,1,0,True
The American people were misled by the government message.,1,['were misled'],1,1,1.0,1,89,['were misled'],1,A37CSK5QI41636,1.0,2,1,True
I feel like all they talk about is the politics on the news. ,1,[],0,0,0.0,0,90,,0,ACIWLS3IQPV1J,2.0,1,0,True
My dad went to vote while I stayed in the car.,1,[],0,0,0.0,0,91,,0,A1N274L13ZKKI5,1.0,2,0,True
Politics play major role in the formation of opinions.,1,[],0,0,0.0,0,92,,0,A3NG205QJ48IM4,1.0,1,0,True
I did vote in the last election.,1,[],0,0,0.0,0,93,,0,A2I6YPPQK6BU09,1.0,1,0,True
If I bring up politics at dinner I ll surely start fight.,1,[],0,0,0.0,0,94,,0,A1H4MYPDJ2K3VI,2.0,1,0,True
Joe Biden was elected as the next president. ,1,['was elected'],1,1,1.0,1,95,['was elected'],1,A15B294KHVGPFV,1.0,2,1,True
I really hate Republican s,1,[],0,0,0.0,0,96,,0,A3774HPOUKYTX7,1.0,1,0,True
Politics can be stressful topic.,1,[],0,0,0.0,0,97,,0,ARTARDCXLJ5H6,2.0,2,0,True
The taxes are low for education.,1,[],0,0,0.0,0,98,,0,A2RCUR9HJ9D0UQ,1.0,2,0,True
I spoke with my friend about the political race.,1,[],0,0,0.0,0,99,,0,AO9AKYPPGGGZ4,2.0,1,0,True
I am so tired of politics,1,[],0,0,0.0,0,100,,0,ADIW4L4IGU98R,1.0,1,0,True
Jane plays games in politics by running for office under an independent party name.,1,[],0,0,0.0,0,101,,0,A34IZFOSHOZ4GN,1.0,1,0,True
I voted in the last election. ,1,[],0,0,0.0,0,102,,0,A11ILN5YSUDVG8,1.0,1,0,True
A rally was held for Biden by the Democratic party before the election. ,1,['was held'],1,1,1.0,1,103,['was held'],1,A13CFYL1AW272Y,1.0,2,1,True
The state health department was affected negatively by the Governor vote to cut funding.,1,['was affected'],1,1,1.0,1,104,['was affected'],1,AAFM5PPF9P0W,1.0,2,1,True
Bill Clinton slept with his intern Monika Lewinsky. ,1,[],0,0,0.0,0,105,,0,A20P819KPQWCK0,1.0,1,0,True
Politics tends to go into one ear and out of the other.,1,[],0,0,0.0,0,106,,0,A2OKJSKQFMCZTP,1.0,2,0,True
The new mayor seems to not know anything about politics.,1,[],0,0,0.0,0,107,,0,AM0FRMVODTMXA,1.0,1,0,True
I enjoy watching politics on tv. ,1,[],0,0,0.0,0,108,,0,A2WSYQ5TS09U1,1.0,1,0,True
Marisha votes for the Democratic Party. ,1,[],0,0,0.0,0,109,,0,A1FAQI8VXLAMBM,2.0,1,0,True
Politics are always on the television.,1,[],0,0,0.0,0,110,,0,A3C9B757QTE20C,2.0,1,0,True
Politics can be complicated,1,[],0,0,0.0,0,111,,0,AK70USZXEJSF3,2.0,2,0,True
I very active in politics.,1,[],0,0,0.0,0,112,,0,A3BWZ6V34W8SXX,2.0,1,0,True
People often talk about how political discourse was more civil in the past. ,1,[],0,0,0.0,0,113,,0,A3U6RDG7BLH6YZ,2.0,1,0,True
Some politicians are not to be trusted.,1,['be trusted'],1,1,1.0,1,114,['be trusted'],1,A2HUWXLMG214BI,2.0,2,1,True
The mayor was satisfied with the voters opinion.,1,[],0,0,0.0,0,115,,0,A16DIQCMNWPBAN,2.0,2,0,True
It is nice to see president that has morals ,1,[],0,0,0.0,0,116,,0,A357ADRGNGMMKC,1.0,1,0,True
How much do you enjoy reading about politics ,1,[],0,0,0.0,0,117,,0,A3V2HVY764HJS4,2.0,1,0,True
Politics is the biggest debate in America ,1,[],0,0,0.0,0,118,,0,A2W5PAZJG6X8Q8,2.0,2,0,True
In politics senators make huge salaries.,1,[],0,0,0.0,0,119,,0,A118RTS8BOFIH7,1.0,1,0,True
The election was lost by the Republican.,1,['was lost'],1,1,1.0,1,120,['was lost'],1,A31CNXHGR49DJR,1.0,2,1,True
Politics can cumbersome,1,[],0,0,0.0,0,121,,0,A3OM2ZQ7FUDTIN,1.0,1,0,True
Politics have ruined this country.,1,[],0,0,0.0,0,122,,0,A3PSV85ZUXP9VF,2.0,2,0,True
Last year i voted for man with orange hair,1,[],0,0,0.0,0,123,,0,A3G11HOZ5PCWOH,2.0,2,0,True
Politics is an exciting game to watch. ,1,[],0,0,0.0,0,124,,0,A33ELVLU0NX9N9,1.0,1,0,True
The President sits at his desk.,1,[],0,0,0.0,0,125,,0,A2W434UNNBRS4L,1.0,2,0,True
I think what is happening in the world is wrong,1,[],0,0,0.0,0,126,,0,A2EW08X2I87RXL,2.0,1,0,True
Misleading statements were made during the debate.,1,['were made'],1,1,1.0,1,127,['were made'],1,AHTWQSOY6HTJI,1.0,2,1,True
I hated that politics class.,1,[],0,0,0.0,0,128,,0,A16Y5JEB1EF9CY,1.0,2,0,True
I think politics are overrated.,1,[],0,0,0.0,0,129,['are overrated'],1,A3M0L33TPD346S,2.0,2,0,False
The president enacted some controversial policies.,1,[],0,0,0.0,0,130,,0,AY4KZOUEZ8BAM,1.0,1,0,True
Politics pays havoc with people mind.,1,[],0,0,0.0,0,131,,0,A14Z1JSAR9JEON,1.0,2,0,True
Politics is very important issue in our country.,1,[],0,0,0.0,0,132,,0,A3M2Q7EZCJ85GE,2.0,2,0,True
I think I know lot about politics.,1,[],0,0,0.0,0,133,,0,A36W1PIV68AE5K,2.0,2,0,True
I will change people opinion about racial rights.,1,[],0,0,0.0,0,134,,0,ANR81FZBHHR0F,1.0,1,0,True
Politics are not often discussed in the workplace.,1,['are not often discussed'],1,1,1.0,1,135,,0,A2UOOBZQ5L2EL1,2.0,2,1,False
Politics are currently all anyone talks about at work.,1,[],0,0,0.0,0,136,,0,j2wj0096lt,2.0,1,0,True
I love how the polling is going ,1,[],0,0,0.0,0,137,,0,A3NUGUAMBKYMZY,1.0,1,0,True
Politics runs the world.,1,[],0,0,0.0,0,138,,0,A33TBDS0UALKW2,1.0,1,0,True
The incumbent senator was defeated by the challenger.,1,['was defeated'],1,1,1.0,1,139,['was defeated'],1,A2BT7QVGXJKFKI,1.0,2,1,True
"John was just elected mayor of our town, something he has always wanted to be.",1,['was just elected'],1,1,1.0,1,140,['was just elected'],1,A39J8MSTUDVH0D,1.0,1,1,True
Politicians should not tweet about politics.,1,[],0,0,0.0,0,141,,0,A15X9KAJB8M54B,2.0,2,0,True
politics is the bane of existence.,1,[],0,0,0.0,0,142,,0,A1CRE2Z623JZ6V,2.0,1,0,True
The senator approval ratings had sunken since voting for the crime bill.,1,[],0,0,0.0,0,143,,0,A3H8A6SSZH6MQQ,2.0,2,1,False
Politics was not topuc of conversation.,1,[],0,0,0.0,0,144,,0,A2137K4XEU12TI,1.0,2,0,True
The mayor decides to run for office another year after successful year in politics.,1,[],0,0,0.0,0,145,,0,AMFIHFK9N0OVK,2.0,1,0,True
I closely follow politics.,1,[],0,0,0.0,0,146,,0,A1JAWNX4R60ZZ0,1.0,1,0,True
I voted for the President.,1,[],0,0,0.0,0,147,,0,A1MPJYJCUAOFOB,1.0,1,0,True
I heard many things about politics.,1,[],0,0,0.0,0,148,,0,A3HT6YYXPBRKN3,2.0,2,0,True
I believe politicians will not lead our country in the right direction.,1,[],0,0,0.0,0,149,,0,A3V9UGWBPDRFSG,1.0,1,0,True
The preident does not like politics when there devicive.,1,[],0,0,0.0,0,150,,0,A1ZJ3TU4QJIKLY,2.0,2,0,True
Politics is definitely very sensitive topic in this society.,1,[],0,0,0.0,0,151,,0,A129LL7SYP8EOE,2.0,1,0,True
The vote certification was delayed several hours due to an attack on Congress.,1,['was delayed'],1,1,1.0,1,152,['was delayed'],1,A2VUF0V7HT51Q3,1.0,2,1,True
In the past I was not very interested in politics.,1,[],0,0,0.0,0,153,,0,A3IB7YJHP04OHI,2.0,2,0,True
The president is calling staff meeting.,1,[],0,0,0.0,0,154,,0,A13DHPKBQXN9R7,2.0,1,0,True
I do not follow politics.,1,[],0,0,0.0,0,155,,0,A1B3K5W6NZ03U2,1.0,1,0,True
The political ad was placed by Cathy.,1,['was placed'],1,1,1.0,1,156,['was placed'],1,A29KJK7GPUF3OT,1.0,2,1,True
The politician scheduled his week-long campaign.,1,[],0,0,0.0,0,157,,0,A26A77APE2SUR5,2.0,2,0,True
Politics makes people crazy ,1,[],0,0,0.0,0,158,,0,A8BSFVAPZBIUS ,1.0,1,0,True
I am going to be running for office during the next election. ,1,[],0,0,0.0,0,159,,0,A1ADRYNCJIRFOO,1.0,1,0,True
The election was won by the oldest candidate.,1,['was won'],1,1,1.0,1,160,['was won'],1,A1PAN54I7HWSZI,1.0,2,1,True
 Effective campaigning is paramount to winning.,1,[],0,0,0.0,0,161,,0,AS8JG1LSWTMGY,2.0,2,0,True
Politics are not for the soft hearted.,1,[],0,0,0.0,0,162,,0,A25D8WXH1F4CG9,1.0,1,0,True
People in politics lie all the time.,1,[],0,0,0.0,0,163,,0,A1TK1M16KJJKEO,1.0,2,0,True
George studied politics in college for his major.,1,[],0,0,0.0,0,164,,0,A1282WX3YWXM6E,2.0,1,0,True
I VOTED IN THE LAST ELECTION,1,[],0,0,0.0,0,165,,0,A3SUUPLFBSG1T9,1.0,1,0,True
Politics was used by student body.,1,['was used'],1,1,1.0,1,166,['was used'],1,A2T6EBB0Z6TQZS  ,1.0,2,1,True
The nation is now calm after our new president has arrived.,1,[],0,0,0.0,0,167,,0,A3G1X3IP2VM4IK,2.0,2,0,True
The Senator was begging for votes.,1,[],0,0,0.0,0,168,,0,A1KRDCZ1YYBUIZ,1.0,1,0,True
We were in line with many Trump supporters. ,1,[],0,0,0.0,0,169,,0,A1X84CLJ7N1PLZ,1.0,2,0,True
Politics can be disappointing subject.,1,[],0,0,0.0,0,170,,0,A141B3S3ZLY8DI,2.0,2,0,True
The politics of it were getting messy.,1,[],0,0,0.0,0,171,,0,A1BDJMFP24FBGL,1.0,1,0,True
the news told me about politics,1,[],0,0,0.0,0,172,,0,A3F34OE3VQ7W0V,1.0,2,0,True
The Demomcrats conceded to the Republicans objections.,1,[],0,0,0.0,0,173,,0,A2BQ5JORLYGZMV,2.0,2,0,True
The politicians are voting ,1,[],0,0,0.0,0,174,,0,A3ONF400XL2Y9U,1.0,1,0,True
Politics have become too much to handle. ,1,[],0,0,0.0,0,175,,0,A2HDZE2L9EX2SY,1.0,1,0,True
Trump was defeated,1,['was defeated'],1,1,1.0,1,176,['was defeated'],1,A2EY0J9LOPU3TU,1.0,2,1,True
American politics have become highly polarized.,1,[],0,0,0.0,0,177,,0,A20SXG1DHDIDI7,1.0,1,0,True
My political voice was suppressed by public opinion ,1,['was suppressed'],1,1,1.0,1,178,['was suppressed'],1,A2Y81T0DIFJ866,1.0,2,1,True
Politics can be very complex to discuss ,1,[],0,0,0.0,0,179,,0,A2MF4QDKE40KVN,1.0,1,0,True
who do you want to vote,1,[],0,0,0.0,0,180,,0,A7Z6P6K85HX54,1.0,2,0,True
Politics are divisive topic.,1,[],0,0,0.0,0,181,,0,A2PY9UB56M2PP2,1.0,1,0,True
Politics was once where Americans worked together to solve problems.,1,[],0,0,0.0,0,182,,0,A2JUTTLDE5LGHH,1.0,2,0,True
I sometimes follow politics,1,[],0,0,0.0,0,183,,0,A2F58OOW7K3DD2,1.0,1,0,True
Politics are all that he had to go on.,1,[],0,0,0.0,0,184,,0,A1QW2XUJ7KZCV5,2.0,2,0,True
Some people just don understand. ,1,[],0,0,0.0,0,185,,0,A3G3TIX6FEMN8R,2.0,2,0,True
The dog is barking at the mailman.,1,[],0,0,0.0,0,186,,0,A2DDPSXH2X96RF,1.0,1,0,True
Politics are terrible right now,1,[],0,0,0.0,0,187,,0,A2BZY06YRWGEDL,2.0,1,0,True
Poor decisions led to the loss by the candidate. ,1,[],0,0,0.0,0,188,,0,A1C8FN01981A69,2.0,2,0,True
When will the next Congressmen run for office ,1,[],0,0,0.0,0,189,,0,A2DU76P3SED4T6,2.0,1,0,True
I want to be more involed in Politics,1,[],0,0,0.0,0,190,,0,AYSX5GNO640MZ,1.0,1,0,True
I voted at my local voting precinct.,1,[],0,0,0.0,0,191,,0,A2R30HQXQN76IC,1.0,1,0,True
"The political process may move slowly, but eventually there are results.",1,[],0,0,0.0,0,192,,0,AMDUEMZUK9GJC,1.0,1,0,True
The candidate is shown to have lied several times.,1,['is shown'],1,1,1.0,1,193,['is shown'],1,A2WS07SCLNP1GV,1.0,2,1,True
"If politics were not allowed in the news, there would be no news. ",1,['were not allowed'],1,1,1.0,1,194,,0,A3V3LIPOU53GZQ,2.0,2,1,False
The Democrats won the election this year.,1,[],0,0,0.0,0,195,,0,AQDA6OMC4W5V8,1.0,2,0,True
President Biden wins the election.,1,[],0,0,0.0,0,196,,0,A1K3VCFF62LIO2,2.0,1,0,True
Many citizens passionately debate politics.,1,[],0,0,0.0,0,197,,0,A2AFAWJX5LTUVN,2.0,1,0,True
When is Biden going to make speech in Atlanta ,1,[],0,0,0.0,0,198,,0,AW8JVJQNLTXND,2.0,1,0,True
The candidate is likely to win.,1,[],0,0,0.0,0,199,,0,A26ZENZ5G8AEGM,1.0,1,0,True
People are made fools due to some political leaders.,1,['are made'],1,1,1.0,1,200,['are made'],1,A3Q9H7A8J8GR01,1.0,2,1,True
The president was satisfied with the bill so he signed it. ,1,[],0,0,0.0,0,201,,0,A2SULQE4M8C3CM,2.0,2,0,True
Politics changes the ways people understand each other.,1,[],0,0,0.0,0,202,,0,A2LDDDJ4WBKB8Y,1.0,1,0,True
Politics can be tricky on either the democratic or the republican side.,1,[],0,0,0.0,0,203,,0,A2VJ27EN5W4MU,1.0,2,0,True
They are following politics.,1,[],0,0,0.0,0,204,,0,A1SBWRAOJBEFIM,1.0,1,0,True
THE POLITICS THIS DAYS ARE SO COMPLICATED.,1,[],0,0,0.0,0,205,,0,A12JQZP4XVOABB,2.0,2,0,True
he hates politics,1,[],0,0,0.0,0,206,,0,AE5138F868GYB,1.0,1,0,True
Politics can sometimes help person reason.,1,[],0,0,0.0,0,207,,0,AY2L2CZ6OKNEA,2.0,1,0,True
The disease was released by the President.,1,['was released'],1,1,1.0,1,208,['was released'],1,A2S7LNJG767XIU,1.0,2,1,True
Donald Trump frequently engages in politics with other political figures.,1,[],0,0,0.0,0,209,,0,A370S3V5OUNP4E,1.0,1,0,True
He is going to run in the next election.,1,[],0,0,0.0,0,210,,0,A2ZKKOPPN3AX2G,1.0,2,0,True
The politics of it are confusing.,1,[],0,0,0.0,0,211,,0,AH7I3K3OJKA5L,2.0,1,0,True
Republicans and Democrats are opposed to one another.,1,[],0,0,0.0,0,212,,0,A5BCSSPC180AG,2.0,2,0,True
Politics in the country suck ,1,[],0,0,0.0,0,213,,0,A1TO9C7AZND1VO,1.0,1,0,True
That what became of the voters.,1,[],0,0,0.0,0,214,,0,AE0C5U5HZ7WR9,2.0,2,0,True
I am moderate when it comes to politics.,1,[],0,0,0.0,0,215,,0,A1D4RC6K6Y5KAV,2.0,1,0,True
I identify as Republican.,1,[],0,0,0.0,0,216,,0,A345TDMHP3DQ3G,1.0,1,0,True
The position was removed from office,1,['was removed'],1,1,1.0,1,217,['was removed'],1,A1U5UPSCURNRAA,2.0,2,1,True
Politics is very relevant topic in the world today.,1,[],0,0,0.0,0,218,,0,A18UTX5FD7NPRV,2.0,1,0,True
Voters were discouraged to gather at the polls.,1,[],0,0,0.0,0,219,['were discouraged'],1,A3T79IEUFBB473,2.0,2,1,True
The brothers argued over who they would vote for in the election.,1,[],0,0,0.0,0,220,,0,A3HKD5JYXYBK5Q,1.0,1,0,True
I am over the politics.,1,[],0,0,0.0,0,221,,0,A3MSMV01T3S53S,2.0,1,0,True
The election was very unfair.,1,[],0,0,0.0,0,222,,0,A2JAE9P7FQXU2T,2.0,2,0,True
Politics makes me so upset ,1,[],0,0,0.0,0,223,,0,A23K77HMD9APAJ,1.0,1,0,True
I avoid speaking about Politics while at work. ,1,[],0,0,0.0,0,224,,0,A322UHGPRL2UWO,2.0,1,0,True
My political views were not recognized.,1,['were not recognized'],1,1,1.0,1,225,,0,A1EDKVYT9ZCGUH,2.0,2,1,False
I will run for political office one day.,1,[],0,0,0.0,0,226,,0,A3CX8S6Q0QEW8E,1.0,1,0,True
My mom was already aware of the current politics.,1,[],0,0,0.0,0,227,,0,AYX9OCFWBM939,2.0,2,0,True
They battled about immigration in the debate last night.,1,[],0,0,0.0,0,228,,0,A1HNB2243A2PQH,2.0,2,0,True
Her use of politics had been tricky to understanding in the meeting.,1,[],0,0,0.0,0,229,,0,A1Y38T7IZWJQAE,2.0,2,0,True
The sports being gambled on were very fast paced.,1,['being gambled'],1,1,1.0,1,230,['being gambled'],1,A3ATU3VULAB7K2,2.0,2,1,True
Sports is an entertaining activity.,1,[],0,0,0.0,0,231,,0,A1CTJ8UT7SF317,1.0,1,0,True
I do not enjoy sports.,1,[],0,0,0.0,0,232,,0,A327Q0Y175MEH7,1.0,1,0,True
The basketball team was driven home in bus.,1,['was driven'],1,1,1.0,1,233,['was driven'],1,A19TD2J8506A4Y,1.0,2,1,True
I play basketball on the weekends.,1,[],0,0,0.0,0,234,,0,A2DDXYTEVDV5F5,1.0,1,0,True
I wish the Lakers would win.,1,[],0,0,0.0,0,235,,0,AJ9O2ZA0E8UDZ,2.0,2,0,True
